Date,Open,High,Low,Close,Adj Close,Volume
2020-08-20,1543.449951,1585.869995,1538.199951,1581.750000,1581.750000,1706900
2020-08-21,1577.030029,1597.719971,1568.005005,1580.420044,1580.420044,1446500
2020-08-24,1593.979980,1614.170044,1580.569946,1588.199951,1588.199951,1409900
2020-08-25,1582.069946,1611.619995,1582.069946,1608.219971,1608.219971,2247100
2020-08-26,1608.000000,1659.219971,1603.599976,1652.380005,1652.380005,3993400
2020-08-27,1653.680054,1655.000000,1625.750000,1634.329956,1634.329956,1861600
2020-08-28,1633.489990,1647.170044,1630.750000,1644.410034,1644.410034,1499000
2020-08-31,1647.890015,1647.964966,1630.310059,1634.180054,1634.180054,1823400
2020-09-01,1636.630005,1665.729980,1632.219971,1660.709961,1660.709961,1825300
2020-09-02,1673.775024,1733.180054,1666.329956,1728.280029,1728.280029,2511200
2020-09-03,1709.713989,1709.713989,1615.060059,1641.839966,1641.839966,3107800
2020-09-04,1624.260010,1645.109985,1547.613037,1591.040039,1591.040039,2608600
2020-09-08,1533.510010,1563.864990,1528.010010,1532.390015,1532.390015,2610900
2020-09-09,1557.530029,1569.000000,1536.051025,1556.959961,1556.959961,1774700
2020-09-10,1560.640015,1584.081055,1525.805054,1532.020020,1532.020020,1618600
2020-09-11,1536.000000,1575.199951,1497.359985,1520.719971,1520.719971,1597100
2020-09-14,1539.005005,1564.000000,1515.739990,1519.280029,1519.280029,1696600
2020-09-15,1536.000000,1559.569946,1531.834961,1541.439941,1541.439941,1331100
2020-09-16,1555.540039,1562.000000,1519.819946,1520.900024,1520.900024,1311700
2020-09-17,1496.000000,1508.297974,1470.000000,1495.530029,1495.530029,1879800
2020-09-18,1498.010010,1503.003052,1437.130005,1459.989990,1459.989990,3103900
2020-09-21,1440.060059,1448.359985,1406.550049,1431.160034,1431.160034,2888800
2020-09-22,1450.089966,1469.520020,1434.530029,1465.459961,1465.459961,1583200
2020-09-23,1458.780029,1460.959961,1407.699951,1415.209961,1415.209961,1657400
2020-09-24,1411.030029,1443.708984,1409.849976,1428.290039,1428.290039,1450200
2020-09-25,1432.630005,1450.000000,1413.339966,1444.959961,1444.959961,1323000
2020-09-28,1474.209961,1476.800049,1449.301025,1464.520020,1464.520020,2007900
2020-09-29,1470.390015,1476.662964,1458.805054,1469.329956,1469.329956,978200
2020-09-30,1466.800049,1489.750000,1459.880005,1469.599976,1469.599976,1701600
2020-10-01,1484.270020,1499.040039,1479.209961,1490.089966,1490.089966,1779500
2020-10-02,1462.030029,1483.199951,1450.920044,1458.420044,1458.420044,1284100
2020-10-05,1466.209961,1488.209961,1464.270020,1486.020020,1486.020020,1113300
2020-10-06,1475.579956,1486.760010,1448.589966,1453.439941,1453.439941,1245400
2020-10-07,1464.290039,1468.959961,1436.000000,1460.290039,1460.290039,1746200
2020-10-08,1465.089966,1490.000000,1465.089966,1485.930054,1485.930054,1187800
2020-10-09,1494.699951,1516.520020,1489.449951,1515.219971,1515.219971,1435300
2020-10-12,1543.000000,1593.859985,1532.569946,1569.150024,1569.150024,2482600
2020-10-13,1583.729980,1590.000000,1563.199951,1571.680054,1571.680054,1601000
2020-10-14,1578.589966,1587.683960,1550.530029,1568.079956,1568.079956,1929300
2020-10-15,1547.150024,1575.104980,1545.030029,1559.130005,1559.130005,1540000
2020-10-16,1565.849976,1581.130005,1563.000000,1573.010010,1573.010010,1434700
2020-10-19,1580.459961,1588.150024,1528.000000,1534.609985,1534.609985,1607100
2020-10-20,1527.050049,1577.500000,1525.670044,1555.930054,1555.930054,2241700
2020-10-21,1573.329956,1618.729980,1571.630005,1593.310059,1593.310059,2568300
2020-10-22,1593.050049,1621.989990,1585.000000,1615.329956,1615.329956,1433600
2020-10-23,1626.069946,1642.359985,1620.510010,1641.000000,1641.000000,1375800
2020-10-26,1625.010010,1638.239990,1576.500000,1590.449951,1590.449951,1853300
2020-10-27,1595.670044,1606.844971,1582.780029,1604.260010,1604.260010,1229000
2020-10-28,1559.739990,1561.349976,1514.619995,1516.619995,1516.619995,1834000
